symbol,date,expiry,strike price,underlying value,call price,put price
ADANIENT,29-Dec-22,29-Dec-22,2700,3810.6,1112.5,0.2
ADANIENT,29-Dec-22,29-Dec-22,2650,3810.6,907.45,46.85
ADANIENT,29-Dec-22,29-Dec-22,3450,3810.6,510.0,0.05
ADANIENT,29-Dec-22,29-Dec-22,4050,3810.6,0.1,234.95
ADANIENT,29-Dec-22,29-Dec-22,2850,3810.6,748.35,0.05
ADANIENT,29-Dec-22,29-Dec-22,2150,3810.6,1584.0,0.05
ADANIENT,29-Dec-22,29-Dec-22,2800,3810.6,786.65,0.05
ADANIENT,29-Dec-22,29-Dec-22,4550,3810.6,0.05,1088.1
ADANIENT,29-Dec-22,29-Dec-22,4250,3810.6,0.05,447.05
ADANIENT,29-Dec-22,29-Dec-22,4500,3810.6,0.05,707.0
ADANIENT,29-Dec-22,29-Dec-22,4300,3810.6,0.05,485.0
ADANIENT,29-Dec-22,29-Dec-22,2550,3810.6,992.5,3.0
ADANIENT,29-Dec-22,29-Dec-22,3650,3810.6,168.6,0.05
ADANIENT,29-Dec-22,29-Dec-22,2200,3810.6,1575.0,0.05
ADANIENT,29-Dec-22,29-Dec-22,4100,3810.6,0.05,287.1
ADANIENT,29-Dec-22,29-Dec-22,2450,3810.6,1080.65,23.05
ADANIENT,29-Dec-22,29-Dec-22,3550,3810.6,232.9,0.05
ADANIENT,29-Dec-22,29-Dec-22,3150,3810.6,541.75,0.05
ADANIENT,29-Dec-22,29-Dec-22,3050,3810.6,606.1,0.05
ADANIENT,29-Dec-22,29-Dec-22,3800,3810.6,20.7,3.65
ADANIENT,29-Dec-22,29-Dec-22,3500,3810.6,316.85,0.05
ADANIENT,29-Dec-22,29-Dec-22,4750,3810.6,0.05,1263.8
ADANIENT,29-Dec-22,29-Dec-22,4700,3810.6,0.05,1219.3
ADANIENT,29-Dec-22,29-Dec-22,3850,3810.6,1.25,39.85
ADANIENT,29-Dec-22,29-Dec-22,3350,3810.6,427.55,0.05
ADANIENT,29-Dec-22,29-Dec-22,3250,3810.6,560.05,0.05
ADANIENT,29-Dec-22,29-Dec-22,4200,3810.6,0.05,385.1
ADANIENT,29-Dec-22,29-Dec-22,2750,3810.6,825.95,0.05
ADANIENT,29-Dec-22,29-Dec-22,2900,3810.6,880.0,0.05
ADANIENT,29-Dec-22,29-Dec-22,3300,3810.6,459.0,0.05
ADANIENT,29-Dec-22,29-Dec-22,3750,3810.6,65.35,0.2
ADANIENT,29-Dec-22,29-Dec-22,2400,3810.6,1125.75,0.05
ADANIENT,29-Dec-22,29-Dec-22,3950,3810.6,0.1,147.2
ADANIENT,29-Dec-22,29-Dec-22,3100,3810.6,683.0,0.05
ADANIENT,29-Dec-22,29-Dec-22,2600,3810.6,949.55,0.05
ADANIENT,29-Dec-22,29-Dec-22,2350,3810.6,1171.45,15.3
ADANIENT,29-Dec-22,29-Dec-22,4650,3810.6,0.05,730.0
ADANIENT,29-Dec-22,29-Dec-22,3200,3810.6,688.45,0.05
ADANIENT,29-Dec-22,29-Dec-22,3400,3810.6,362.8,0.05
ADANIENT,29-Dec-22,29-Dec-22,4350,3810.6,0.05,577.25
ADANIENT,29-Dec-22,29-Dec-22,2950,3810.6,675.05,0.05
ADANIENT,29-Dec-22,29-Dec-22,4000,3810.6,0.2,190.1
ADANIENT,29-Dec-22,29-Dec-22,4600,3810.6,0.05,1131.45
ADANIENT,29-Dec-22,29-Dec-22,3600,3810.6,218.95,0.05
ADANIENT,29-Dec-22,29-Dec-22,4150,3810.6,0.1,335.85
ADANIENT,29-Dec-22,29-Dec-22,4400,3810.6,0.05,635.0
ADANIENT,29-Dec-22,29-Dec-22,3900,3810.6,0.1,87.6
ADANIENT,29-Dec-22,29-Dec-22,2500,3810.6,1036.2,0.05
ADANIENT,29-Dec-22,29-Dec-22,2250,3810.6,1264.4,9.75
ADANIENT,29-Dec-22,29-Dec-22,2300,3810.6,1466.0,0.05
ADANIENT,29-Dec-22,29-Dec-22,3000,3810.6,810.0,0.1
ADANIENT,29-Dec-22,29-Dec-22,4450,3810.6,0.05,1002.85
ADANIENT,29-Dec-22,29-Dec-22,3700,3810.6,120.8,0.15
ADANIENT,29-Dec-22,25-Jan-23,2800,3810.6,665.0,5.0
ADANIENT,29-Dec-22,25-Jan-23,4300,3810.6,24.65,489.95
ADANIENT,29-Dec-22,25-Jan-23,3800,3810.6,168.7,133.95
ADANIENT,29-Dec-22,25-Jan-23,4700,3810.6,6.35,1340.45
ADANIENT,29-Dec-22,25-Jan-23,3500,3810.6,380.45,44.9
ADANIENT,29-Dec-22,25-Jan-23,3950,3810.6,99.65,211.0
ADANIENT,29-Dec-22,25-Jan-23,3650,3810.6,249.15,78.65
ADANIENT,29-Dec-22,25-Jan-23,3450,3810.6,295.4,36.95
ADANIENT,29-Dec-22,25-Jan-23,3850,3810.6,142.85,158.3
ADANIENT,29-Dec-22,25-Jan-23,3750,3810.6,197.65,113.4
ADANIENT,29-Dec-22,25-Jan-23,2650,3810.6,779.05,61.85
ADANIENT,29-Dec-22,25-Jan-23,4750,3810.6,5.95,1386.25
ADANIENT,29-Dec-22,25-Jan-23,4200,3810.6,35.55,400.1
ADANIENT,29-Dec-22,25-Jan-23,2150,3810.6,1572.0,0.1
ADANIENT,29-Dec-22,25-Jan-23,2550,3810.6,860.35,44.75
ADANIENT,29-Dec-22,25-Jan-23,4500,3810.6,12.3,679.0
ADANIENT,29-Dec-22,25-Jan-23,2700,3810.6,1120.0,2.4
ADANIENT,29-Dec-22,25-Jan-23,2600,3810.6,819.2,52.8
ADANIENT,29-Dec-22,25-Jan-23,3550,3810.6,256.5,54.0
ADANIENT,29-Dec-22,25-Jan-23,3050,3810.6,498.0,4.8
ADANIENT,29-Dec-22,25-Jan-23,2750,3810.6,701.85,83.05
ADANIENT,29-Dec-22,25-Jan-23,4250,3810.6,29.9,490.0
ADANIENT,29-Dec-22,25-Jan-23,4650,3810.6,7.65,1294.9
ADANIENT,29-Dec-22,25-Jan-23,3150,3810.6,440.0,13.05
ADANIENT,29-Dec-22,25-Jan-23,4050,3810.6,66.75,285.0
ADANIENT,29-Dec-22,25-Jan-23,4450,3810.6,14.7,1116.2
ADANIENT,29-Dec-22,25-Jan-23,2300,3810.6,1474.0,17.15
ADANIENT,29-Dec-22,25-Jan-23,3900,3810.6,119.35,184.25
ADANIENT,29-Dec-22,25-Jan-23,2250,3810.6,1124.6,13.75
ADANIENT,29-Dec-22,25-Jan-23,3700,3810.6,228.8,94.75
ADANIENT,29-Dec-22,25-Jan-23,2900,3810.6,594.6,6.7
ADANIENT,29-Dec-22,25-Jan-23,2950,3810.6,561.2,139.2
ADANIENT,29-Dec-22,25-Jan-23,2350,3810.6,1033.6,21.2
ADANIENT,29-Dec-22,25-Jan-23,2500,3810.6,902.45,5.0
ADANIENT,29-Dec-22,25-Jan-23,3400,3810.6,418.0,30.3
ADANIENT,29-Dec-22,25-Jan-23,4400,3810.6,17.3,582.75
ADANIENT,29-Dec-22,25-Jan-23,3250,3810.6,594.0,61.3
ADANIENT,29-Dec-22,25-Jan-23,3100,3810.6,468.4,11.2
ADANIENT,29-Dec-22,25-Jan-23,2450,3810.6,945.35,31.35
ADANIENT,29-Dec-22,25-Jan-23,4550,3810.6,10.3,1204.85
ADANIENT,29-Dec-22,25-Jan-23,2200,3810.6,1565.0,10.9
ADANIENT,29-Dec-22,25-Jan-23,4150,3810.6,44.35,357.75
ADANIENT,29-Dec-22,25-Jan-23,3200,3810.6,605.0,15.65
ADANIENT,29-Dec-22,25-Jan-23,2400,3810.6,989.1,25.9
ADANIENT,29-Dec-22,25-Jan-23,2850,3810.6,629.2,108.85
ADANIENT,29-Dec-22,25-Jan-23,4100,3810.6,54.55,320.0
ADANIENT,29-Dec-22,25-Jan-23,3350,3810.6,338.8,310.45
ADANIENT,29-Dec-22,25-Jan-23,4350,3810.6,20.2,1029.2
ADANIENT,29-Dec-22,25-Jan-23,4600,3810.6,9.2,1249.7
ADANIENT,29-Dec-22,25-Jan-23,3600,3810.6,297.65,65.05
ADANIENT,29-Dec-22,25-Jan-23,3300,3810.6,513.6,21.1
ADANIENT,29-Dec-22,25-Jan-23,4000,3810.6,81.55,245.6
ADANIENT,29-Dec-22,25-Jan-23,3000,3810.6,830.0,9.05
ADANIENT,29-Dec-22,23-Feb-23,3650,3810.6,557.5,226.7
ADANIENT,29-Dec-22,23-Feb-23,3150,3810.6,900.65,78.05
ADANIENT,29-Dec-22,23-Feb-23,4400,3810.6,41.0,640.5
ADANIENT,29-Dec-22,23-Feb-23,3750,3810.6,501.35,268.95
ADANIENT,29-Dec-22,23-Feb-23,3550,3810.6,617.85,188.75
ADANIENT,29-Dec-22,23-Feb-23,3950,3810.6,401.55,365.9
ADANIENT,29-Dec-22,23-Feb-23,3250,3810.6,824.1,41.65
ADANIENT,29-Dec-22,23-Feb-23,4750,3810.6,148.1,899.35
ADANIENT,29-Dec-22,23-Feb-23,4100,3810.6,87.0,449.15
ADANIENT,29-Dec-22,23-Feb-23,4650,3810.6,169.15,822.05
ADANIENT,29-Dec-22,23-Feb-23,3350,3810.6,751.45,125.6
ADANIENT,29-Dec-22,23-Feb-23,4000,3810.6,134.45,392.65
ADANIENT,29-Dec-22,23-Feb-23,3450,3810.6,682.65,155.15
ADANIENT,29-Dec-22,23-Feb-23,4600,3810.6,180.65,784.35
ADANIENT,29-Dec-22,23-Feb-23,3700,3810.6,284.0,153.65
ADANIENT,29-Dec-22,23-Feb-23,3850,3810.6,449.4,315.35
ADANIENT,29-Dec-22,23-Feb-23,4550,3810.6,192.6,747.15
ADANIENT,29-Dec-22,23-Feb-23,4500,3810.6,31.0,710.85
ADANIENT,29-Dec-22,23-Feb-23,3600,3810.6,301.0,165.95
ADANIENT,29-Dec-22,23-Feb-23,3200,3810.6,861.9,88.5
ADANIENT,29-Dec-22,23-Feb-23,3500,3810.6,388.85,88.4
ADANIENT,29-Dec-22,23-Feb-23,4700,3810.6,16.0,860.4
ADANIENT,29-Dec-22,23-Feb-23,4050,3810.6,357.75,420.45
ADANIENT,29-Dec-22,23-Feb-23,3400,3810.6,716.55,60.0
ADANIENT,29-Dec-22,23-Feb-23,3100,3810.6,940.3,68.5
ADANIENT,29-Dec-22,23-Feb-23,4300,3810.6,55.0,587.5
ADANIENT,29-Dec-22,23-Feb-23,3050,3810.6,980.75,59.8
ADANIENT,29-Dec-22,23-Feb-23,4450,3810.6,219.1,675.3
ADANIENT,29-Dec-22,23-Feb-23,4150,3810.6,317.75,478.85
ADANIENT,29-Dec-22,23-Feb-23,3800,3810.6,200.0,208.0
ADANIENT,29-Dec-22,23-Feb-23,4200,3810.6,66.05,509.45
ADANIENT,29-Dec-22,23-Feb-23,4250,3810.6,281.5,540.9
ADANIENT,29-Dec-22,23-Feb-23,3300,3810.6,787.35,46.85
ADANIENT,29-Dec-22,23-Feb-23,3900,3810.6,162.2,249.0
ADANIENT,29-Dec-22,23-Feb-23,4350,3810.6,248.65,606.45
ADANIENT,30-Dec-22,25-Jan-23,4000,3858.35,85.5,219.05
ADANIENT,30-Dec-22,25-Jan-23,2950,3858.35,561.2,139.2
ADANIENT,30-Dec-22,25-Jan-23,3000,3858.35,830.0,7.0
ADANIENT,30-Dec-22,25-Jan-23,2700,3858.35,1120.0,2.85
ADANIENT,30-Dec-22,25-Jan-23,2550,3858.35,860.35,44.75
ADANIENT,30-Dec-22,25-Jan-23,4500,3858.35,10.55,679.0
ADANIENT,30-Dec-22,25-Jan-23,2250,3858.35,1124.6,13.75
ADANIENT,30-Dec-22,25-Jan-23,3050,3858.35,498.0,6.6
ADANIENT,30-Dec-22,25-Jan-23,2500,3858.35,902.45,5.0
ADANIENT,30-Dec-22,25-Jan-23,3700,3858.35,238.9,73.1
ADANIENT,30-Dec-22,25-Jan-23,2800,3858.35,665.0,3.9
ADANIENT,30-Dec-22,25-Jan-23,3400,3858.35,491.65,21.65
ADANIENT,30-Dec-22,25-Jan-23,4400,3858.35,15.65,582.75
ADANIENT,30-Dec-22,25-Jan-23,3200,3858.35,605.0,11.4
ADANIENT,30-Dec-22,25-Jan-23,3100,3858.35,468.4,8.55
ADANIENT,30-Dec-22,25-Jan-23,2850,3858.35,629.2,108.85
ADANIENT,30-Dec-22,25-Jan-23,2150,3858.35,1572.0,0.1
ADANIENT,30-Dec-22,25-Jan-23,3550,3858.35,256.5,38.35
ADANIENT,30-Dec-22,25-Jan-23,2350,3858.35,1033.6,21.2
ADANIENT,30-Dec-22,25-Jan-23,4350,3858.35,19.2,1029.2
ADANIENT,30-Dec-22,25-Jan-23,3750,3858.35,206.35,89.7
ADANIENT,30-Dec-22,25-Jan-23,4550,3858.35,8.7,1204.85
ADANIENT,30-Dec-22,25-Jan-23,3850,3858.35,149.6,132.55
ADANIENT,30-Dec-22,25-Jan-23,3150,3858.35,440.0,9.8
ADANIENT,30-Dec-22,25-Jan-23,2600,3858.35,819.2,52.8
ADANIENT,30-Dec-22,25-Jan-23,4200,3858.35,36.2,376.3
ADANIENT,30-Dec-22,25-Jan-23,4600,3858.35,7.45,1249.7
ADANIENT,30-Dec-22,25-Jan-23,3600,3858.35,315.0,47.7
ADANIENT,30-Dec-22,25-Jan-23,3350,3858.35,338.8,18.3
ADANIENT,30-Dec-22,25-Jan-23,2300,3858.35,1474.0,17.15
ADANIENT,30-Dec-22,25-Jan-23,3250,3858.35,594.0,13.1
ADANIENT,30-Dec-22,25-Jan-23,4450,3858.35,12.75,1116.2
ADANIENT,30-Dec-22,25-Jan-23,3800,3858.35,176.75,110.25
ADANIENT,30-Dec-22,25-Jan-23,2450,3858.35,945.35,31.35
ADANIENT,30-Dec-22,25-Jan-23,4650,3858.35,6.0,1294.9
ADANIENT,30-Dec-22,25-Jan-23,4100,3858.35,56.5,285.5
ADANIENT,30-Dec-22,25-Jan-23,2200,3858.35,1565.0,10.9
ADANIENT,30-Dec-22,25-Jan-23,2900,3858.35,594.6,5.1
ADANIENT,30-Dec-22,25-Jan-23,3500,3858.35,421.9,31.65
ADANIENT,30-Dec-22,25-Jan-23,4250,3858.35,29.3,490.0
ADANIENT,30-Dec-22,25-Jan-23,2400,3858.35,989.1,25.9
ADANIENT,30-Dec-22,25-Jan-23,2650,3858.35,779.05,61.85
ADANIENT,30-Dec-22,25-Jan-23,4050,3858.35,69.65,259.5
ADANIENT,30-Dec-22,25-Jan-23,3450,3858.35,295.4,26.0
ADANIENT,30-Dec-22,25-Jan-23,3900,3858.35,125.8,158.25
ADANIENT,30-Dec-22,25-Jan-23,4700,3858.35,5.05,1340.45
ADANIENT,30-Dec-22,25-Jan-23,3950,3858.35,103.75,188.5
ADANIENT,30-Dec-22,25-Jan-23,4300,3858.35,23.65,445.0
ADANIENT,30-Dec-22,25-Jan-23,3650,3858.35,286.7,58.8
ADANIENT,30-Dec-22,25-Jan-23,4750,3858.35,4.3,1386.25
ADANIENT,30-Dec-22,25-Jan-23,2750,3858.35,701.85,3.4
ADANIENT,30-Dec-22,25-Jan-23,3300,3858.35,513.6,15.3
ADANIENT,30-Dec-22,25-Jan-23,4150,3858.35,45.7,326.45
ADANIENT,30-Dec-22,23-Feb-23,4150,3858.35,317.75,478.85
ADANIENT,30-Dec-22,23-Feb-23,3800,3858.35,219.8,186.35
ADANIENT,30-Dec-22,23-Feb-23,3450,3858.35,682.65,155.15
ADANIENT,30-Dec-22,23-Feb-23,3400,3858.35,716.55,53.95
ADANIENT,30-Dec-22,23-Feb-23,3100,3858.35,940.3,68.5
ADANIENT,30-Dec-22,23-Feb-23,3750,3858.35,501.35,268.95
ADANIENT,30-Dec-22,23-Feb-23,4250,3858.35,281.5,540.9
ADANIENT,30-Dec-22,23-Feb-23,3850,3858.35,449.4,315.35
ADANIENT,30-Dec-22,23-Feb-23,3700,3858.35,284.0,141.05
ADANIENT,30-Dec-22,23-Feb-23,4050,3858.35,357.75,420.45
ADANIENT,30-Dec-22,23-Feb-23,4350,3858.35,248.65,606.45
ADANIENT,30-Dec-22,23-Feb-23,3950,3858.35,401.55,365.9
ADANIENT,30-Dec-22,23-Feb-23,4650,3858.35,169.15,822.05
ADANIENT,30-Dec-22,23-Feb-23,3250,3858.35,824.1,41.65
ADANIENT,30-Dec-22,23-Feb-23,4750,3858.35,148.1,899.35
ADANIENT,30-Dec-22,23-Feb-23,3050,3858.35,980.75,59.8
ADANIENT,30-Dec-22,23-Feb-23,3600,3858.35,301.0,100.0
ADANIENT,30-Dec-22,23-Feb-23,3150,3858.35,900.65,78.05
ADANIENT,30-Dec-22,23-Feb-23,4700,3858.35,16.0,860.4
ADANIENT,30-Dec-22,23-Feb-23,3900,3858.35,190.05,199.0
ADANIENT,30-Dec-22,23-Feb-23,4450,3858.35,219.1,675.3
ADANIENT,30-Dec-22,23-Feb-23,4600,3858.35,180.65,784.35
ADANIENT,30-Dec-22,23-Feb-23,3300,3858.35,787.35,38.95
ADANIENT,30-Dec-22,23-Feb-23,4000,3858.35,138.3,392.65
ADANIENT,30-Dec-22,23-Feb-23,4400,3858.35,48.5,640.5
ADANIENT,30-Dec-22,23-Feb-23,4500,3858.35,36.7,710.85
ADANIENT,30-Dec-22,23-Feb-23,4100,3858.35,107.65,449.15
ADANIENT,30-Dec-22,23-Feb-23,3200,3858.35,861.9,88.5
ADANIENT,30-Dec-22,23-Feb-23,3650,3858.35,557.5,226.7
ADANIENT,30-Dec-22,23-Feb-23,4550,3858.35,192.6,747.15
ADANIENT,30-Dec-22,23-Feb-23,3500,3858.35,388.85,75.7
ADANIENT,30-Dec-22,23-Feb-23,3350,3858.35,751.45,125.6
ADANIENT,30-Dec-22,23-Feb-23,4300,3858.35,66.05,587.5
ADANIENT,30-Dec-22,23-Feb-23,3550,3858.35,617.85,188.75
ADANIENT,30-Dec-22,23-Feb-23,4200,3858.35,85.8,440.0
ADANIENT,30-Dec-22,29-Mar-23,3450,3858.35,594.0,175.05
ADANIENT,30-Dec-22,29-Mar-23,4450,3858.35,172.75,736.85
ADANIENT,30-Dec-22,29-Mar-23,3500,3858.35,563.05,81.0
ADANIENT,30-Dec-22,29-Mar-23,4250,3858.35,226.6,594.1
ADANIENT,30-Dec-22,29-Mar-23,3350,3858.35,659.5,142.2
ADANIENT,30-Dec-22,29-Mar-23,3900,3858.35,354.8,378.2
ADANIENT,30-Dec-22,29-Mar-23,3200,3858.35,765.45,100.7
ADANIENT,30-Dec-22,29-Mar-23,3400,3858.35,626.25,70.0
ADANIENT,30-Dec-22,29-Mar-23,4050,3858.35,294.15,465.05
ADANIENT,30-Dec-22,29-Mar-23,3750,3858.35,424.7,300.65
ADANIENT,30-Dec-22,29-Mar-23,4000,3858.35,313.35,435.1
ADANIENT,30-Dec-22,29-Mar-23,3250,3858.35,729.2,113.6
ADANIENT,30-Dec-22,29-Mar-23,4100,3858.35,275.9,495.9
ADANIENT,30-Dec-22,29-Mar-23,3300,3858.35,693.8,60.0
ADANIENT,30-Dec-22,29-Mar-23,4300,3858.35,67.0,628.55
ADANIENT,30-Dec-22,29-Mar-23,3600,3858.35,504.4,149.0
ADANIENT,30-Dec-22,29-Mar-23,3550,3858.35,533.15,212.5
ADANIENT,30-Dec-22,29-Mar-23,3800,3858.35,400.35,325.45
ADANIENT,30-Dec-22,29-Mar-23,3150,3858.35,802.85,88.95
ADANIENT,30-Dec-22,29-Mar-23,3850,3858.35,377.05,351.3
ADANIENT,30-Dec-22,29-Mar-23,3700,3858.35,450.15,276.95
ADANIENT,30-Dec-22,29-Mar-23,3650,3858.35,476.7,254.35
ADANIENT,30-Dec-22,29-Mar-23,4150,3858.35,258.55,527.75
ADANIENT,30-Dec-22,29-Mar-23,4200,3858.35,130.0,560.5
ADANIENT,30-Dec-22,29-Mar-23,4400,3858.35,67.0,699.85
ADANIENT,30-Dec-22,29-Mar-23,4350,3858.35,198.0,663.8
ADANIENT,30-Dec-22,29-Mar-23,3950,3858.35,333.55,406.15
ADANIENT,02-Jan-23,25-Jan-23,4750,3841.2,3.8,1386.25
ADANIENT,02-Jan-23,25-Jan-23,4750,3841.2,3.8,1386.25
ADANIENT,02-Jan-23,25-Jan-23,4750,3841.2,3.8,1386.25
ADANIENT,02-Jan-23,25-Jan-23,4750,3841.2,3.8,1386.25
ADANIENT,02-Jan-23,25-Jan-23,4700,3841.2,4.35,1340.45
ADANIENT,02-Jan-23,25-Jan-23,4700,3841.2,4.35,1340.45
ADANIENT,02-Jan-23,25-Jan-23,4700,3841.2,4.35,1340.45
ADANIENT,02-Jan-23,25-Jan-23,4700,3841.2,4.35,1340.45
ADANIENT,02-Jan-23,25-Jan-23,4500,3841.2,8.8,679.0
ADANIENT,02-Jan-23,25-Jan-23,4500,3841.2,8.8,679.0
ADANIENT,02-Jan-23,25-Jan-23,4500,3841.2,8.8,679.0
ADANIENT,02-Jan-23,25-Jan-23,4500,3841.2,8.8,679.0
ADANIENT,02-Jan-23,25-Jan-23,3450,3841.2,295.4,23.65
ADANIENT,02-Jan-23,25-Jan-23,3450,3841.2,295.4,23.65
ADANIENT,02-Jan-23,25-Jan-23,3450,3841.2,295.4,23.65
ADANIENT,02-Jan-23,25-Jan-23,3450,3841.2,295.4,23.65
ADANIENT,02-Jan-23,25-Jan-23,2950,3841.2,561.2,139.2
ADANIENT,02-Jan-23,25-Jan-23,2950,3841.2,561.2,139.2
ADANIENT,02-Jan-23,25-Jan-23,2950,3841.2,561.2,139.2
ADANIENT,02-Jan-23,25-Jan-23,2950,3841.2,561.2,139.2
ADANIENT,02-Jan-23,25-Jan-23,2650,3841.2,779.05,61.85
ADANIENT,02-Jan-23,25-Jan-23,2650,3841.2,779.05,61.85
ADANIENT,02-Jan-23,25-Jan-23,2650,3841.2,779.05,61.85
ADANIENT,02-Jan-23,25-Jan-23,2650,3841.2,779.05,61.85
ADANIENT,02-Jan-23,25-Jan-23,4000,3841.2,76.05,224.2
ADANIENT,02-Jan-23,25-Jan-23,4000,3841.2,76.05,224.2
ADANIENT,02-Jan-23,25-Jan-23,4000,3841.2,76.05,224.2
ADANIENT,02-Jan-23,25-Jan-23,4000,3841.2,76.05,224.2
ADANIENT,02-Jan-23,25-Jan-23,4400,3841.2,13.05,582.75
ADANIENT,02-Jan-23,25-Jan-23,4400,3841.2,13.05,582.75
ADANIENT,02-Jan-23,25-Jan-23,4400,3841.2,13.05,582.75
ADANIENT,02-Jan-23,25-Jan-23,4400,3841.2,13.05,582.75
ADANIENT,02-Jan-23,25-Jan-23,2700,3841.2,1120.0,1.35
ADANIENT,02-Jan-23,25-Jan-23,2700,3841.2,1120.0,1.35
ADANIENT,02-Jan-23,25-Jan-23,2700,3841.2,1120.0,1.35
ADANIENT,02-Jan-23,25-Jan-23,2700,3841.2,1120.0,1.35
ADANIENT,02-Jan-23,25-Jan-23,3400,3841.2,480.85,18.85
ADANIENT,02-Jan-23,25-Jan-23,3400,3841.2,480.85,18.85
ADANIENT,02-Jan-23,25-Jan-23,3400,3841.2,480.85,18.85
ADANIENT,02-Jan-23,25-Jan-23,3400,3841.2,480.85,18.85
ADANIENT,02-Jan-23,25-Jan-23,2550,3841.2,860.35,44.75
ADANIENT,02-Jan-23,25-Jan-23,2550,3841.2,860.35,44.75
ADANIENT,02-Jan-23,25-Jan-23,2550,3841.2,860.35,44.75
ADANIENT,02-Jan-23,25-Jan-23,2550,3841.2,860.35,44.75
ADANIENT,02-Jan-23,25-Jan-23,4600,3841.2,6.3,1249.7
ADANIENT,02-Jan-23,25-Jan-23,4600,3841.2,6.3,1249.7
ADANIENT,02-Jan-23,25-Jan-23,4600,3841.2,6.3,1249.7
ADANIENT,02-Jan-23,25-Jan-23,4600,3841.2,6.3,1249.7
ADANIENT,02-Jan-23,25-Jan-23,4050,3841.2,61.2,256.05
ADANIENT,02-Jan-23,25-Jan-23,4050,3841.2,61.2,256.05
ADANIENT,02-Jan-23,25-Jan-23,4050,3841.2,61.2,256.05
ADANIENT,02-Jan-23,25-Jan-23,4050,3841.2,61.2,256.05
ADANIENT,02-Jan-23,25-Jan-23,3600,3841.2,298.0,48.45
ADANIENT,02-Jan-23,25-Jan-23,3600,3841.2,298.0,48.45
ADANIENT,02-Jan-23,25-Jan-23,3600,3841.2,298.0,48.45
ADANIENT,02-Jan-23,25-Jan-23,3600,3841.2,298.0,48.45
ADANIENT,02-Jan-23,25-Jan-23,4300,3841.2,19.75,456.4
ADANIENT,02-Jan-23,25-Jan-23,4300,3841.2,19.75,456.4
ADANIENT,02-Jan-23,25-Jan-23,4300,3841.2,19.75,456.4
ADANIENT,02-Jan-23,25-Jan-23,4300,3841.2,19.75,456.4
ADANIENT,02-Jan-23,25-Jan-23,2900,3841.2,594.6,3.0
ADANIENT,02-Jan-23,25-Jan-23,2900,3841.2,594.6,3.0
ADANIENT,02-Jan-23,25-Jan-23,2900,3841.2,594.6,3.0
ADANIENT,02-Jan-23,25-Jan-23,2900,3841.2,594.6,3.0
ADANIENT,02-Jan-23,25-Jan-23,3500,3841.2,378.5,30.0
ADANIENT,02-Jan-23,25-Jan-23,3500,3841.2,378.5,30.0
ADANIENT,02-Jan-23,25-Jan-23,3500,3841.2,378.5,30.0
ADANIENT,02-Jan-23,25-Jan-23,3500,3841.2,378.5,30.0
ADANIENT,02-Jan-23,25-Jan-23,3100,3841.2,468.4,5.9
ADANIENT,02-Jan-23,25-Jan-23,3100,3841.2,468.4,5.9
ADANIENT,02-Jan-23,25-Jan-23,3100,3841.2,468.4,5.9
ADANIENT,02-Jan-23,25-Jan-23,3100,3841.2,468.4,5.9
ADANIENT,02-Jan-23,25-Jan-23,3000,3841.2,830.0,4.65
ADANIENT,02-Jan-23,25-Jan-23,3000,3841.2,830.0,4.65
ADANIENT,02-Jan-23,25-Jan-23,3000,3841.2,830.0,4.65
ADANIENT,02-Jan-23,25-Jan-23,3000,3841.2,830.0,4.65
ADANIENT,02-Jan-23,25-Jan-23,4550,3841.2,7.35,1204.85
ADANIENT,02-Jan-23,25-Jan-23,4550,3841.2,7.35,1204.85
ADANIENT,02-Jan-23,25-Jan-23,4550,3841.2,7.35,1204.85
ADANIENT,02-Jan-23,25-Jan-23,4550,3841.2,7.35,1204.85
ADANIENT,02-Jan-23,25-Jan-23,3750,3841.2,193.55,91.75
ADANIENT,02-Jan-23,25-Jan-23,3750,3841.2,193.55,91.75
ADANIENT,02-Jan-23,25-Jan-23,3750,3841.2,193.55,91.75
ADANIENT,02-Jan-23,25-Jan-23,3750,3841.2,193.55,91.75
ADANIENT,02-Jan-23,25-Jan-23,3050,3841.2,498.0,6.6
ADANIENT,02-Jan-23,25-Jan-23,3050,3841.2,498.0,6.6
ADANIENT,02-Jan-23,25-Jan-23,3050,3841.2,498.0,6.6
ADANIENT,02-Jan-23,25-Jan-23,3050,3841.2,498.0,6.6
ADANIENT,02-Jan-23,25-Jan-23,2400,3841.2,989.1,25.9
ADANIENT,02-Jan-23,25-Jan-23,2400,3841.2,989.1,25.9
ADANIENT,02-Jan-23,25-Jan-23,2400,3841.2,989.1,25.9
ADANIENT,02-Jan-23,25-Jan-23,2400,3841.2,989.1,25.9
ADANIENT,02-Jan-23,25-Jan-23,4650,3841.2,5.2,1294.9
ADANIENT,02-Jan-23,25-Jan-23,4650,3841.2,5.2,1294.9
ADANIENT,02-Jan-23,25-Jan-23,4650,3841.2,5.2,1294.9
ADANIENT,02-Jan-23,25-Jan-23,4650,3841.2,5.2,1294.9
ADANIENT,02-Jan-23,25-Jan-23,4350,3841.2,16.0,1029.2
ADANIENT,02-Jan-23,25-Jan-23,4350,3841.2,16.0,1029.2
ADANIENT,02-Jan-23,25-Jan-23,4350,3841.2,16.0,1029.2
ADANIENT,02-Jan-23,25-Jan-23,4350,3841.2,16.0,1029.2
